frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
128,5.0,[1125.8943254908995 746.5504821144899 1481.343042993633 1072.7100035219087],[1252.75634765625 997.6301879882812 1364.2554931640625 1047.01513671875],0.7037105560302734,MV51VSD,0.38348971074831606
128,6.0,[539.4450204983821 615.6448230071605 848.3795304363368 857.835275767613],[654.036865234375 763.5234375 735.3551025390625 803.31591796875],0.2718580365180969,GX15OGJ,0.23954913688272111
129,5.0,[1126.8443894333957 747.5654876460292 1481.3990649298523 1072.3153476802713],[1252.734375 997.6131591796875 1364.255859375 1047.0272216796875],0.7038556933403015,MV51VSD,0.38348971074831606
129,6.0,[539.4075727484307 616.438046745674 848.2814595577867 858.3836827944856],[654.015625 763.5355224609375 735.3746948242188 803.30419921875],0.27337953448295593,GX15OGJ,0.23954913688272111
134,5.0,[1130.6789193606533 752.8467409625981 1484.9483883422881 1073.4365554760116],[1257.8074951171875 1013.8385009765625 1363.18798828125 1062.2530517578125],0.7010235786437988,MI11WSU,0.06794138119587113
135,5.0,[1131.4688295608653 753.2556884099832 1485.4823365360653 1073.0366960129652],[1257.80419921875 1013.8388671875 1363.2025146484375 1062.260009765625],0.7013506889343262,MI11WSU,0.06794138119587113
154,6.0,[520.8755152339947 640.9903240082567 844.4722113383791 894.6164640417833],[635.0072631835938 796.9295654296875 728.4457397460938 841.578369140625],0.5783538818359375,GX15OCJ,0.7624397788460192
155,6.0,[518.9248388894596 641.0685381014683 844.4036811811748 895.9590827361741],[635.0438232421875 797.0096435546875 728.4354858398438 841.5396118164062],0.5780386328697205,GX15OCJ,0.6776071451402792
162,6.0,[511.2276504794633 651.631840336535 841.6313882820466 908.7138942313983],[622.5632934570312 812.2760620117188 723.2105102539062 857.3258666992188],0.46547025442123413,GI15OGJ,0.17697401996612278
163,6.0,[509.4106054621607 652.690064103018 840.9087234576152 909.9572053510364],[622.4512939453125 812.32470703125 722.6797485351562 857.2461547851562],0.45858949422836304,GI15OGJ,0.17697401996612278
168,6.0,[503.7820044594231 661.4384776749409 840.5751474589314 922.9127664151333],[615.4452514648438 820.44140625 718.6256103515625 863.97216796875],0.5474125146865845,CX15OGJ,0.1924148408987342
169,6.0,[502.3494538535564 662.4883881971683 840.8890616698881 924.6601303498072],[615.9346313476562 820.4983520507812 718.2384033203125 864.2536010742188],0.568885862827301,GX15OGJ,0.46604323307742507
172,6.0,[500.5416749834884 664.6273355522264 841.667961897579 928.3689195334139],[619.8478393554688 825.0917358398438 718.9119873046875 872.3600463867188],0.5098224878311157,GI15OGJ,0.21075042000249325
174,6.0,[498.7210052304325 666.3777259409482 842.5594698685367 931.8670549937848],[622.95068359375 834.5372314453125 718.1309204101562 876.4857788085938],0.5192282795906067,CX15OCJ,0.26052201054565216
175,6.0,[497.92572831889316 666.6839604650575 842.8794695598724 933.2795568365632],[622.916748046875 834.5090942382812 718.1768188476562 876.5208129882812],0.5188683867454529,CX15OCJ,0.26052201054565216
176,6.0,[497.6056533108484 667.1664066633757 842.3461204892589 935.3355710635217],[622.8316040039062 836.4856567382812 718.8038330078125 877.8942260742188],0.5413296818733215,GX15OGJ,0.8156711818057863
