frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
271,1,1020.6562825165986 608.2404074724325 1303.909623141555 846.0468988707003,1121.32763671875 757.1008911132812 1214.9635009765625 798.4252319335938,0.3114018142223358,AP05JEO,0.07362677486543719
272,1,1021.1905220092667 609.5285131986132 1305.3184312933508 847.6120597713436,1121.889892578125 752.9895629882812 1232.3028564453125 803.0469360351562,0.43926405906677246,AP05JEO,0.7126494027951744
273,1,1021.2004914034358 609.9895087679527 1305.970791282483 848.2974344495981,1122.030517578125 752.927490234375 1232.2222900390625 803.0654296875,0.4297056198120117,AP05JEO,0.24726285989269015
274,1,1022.564237418 611.6331589169674 1307.8242748626533 850.415805969292,1123.8927001953125 758.4815063476562 1232.866455078125 808.0913696289062,0.6369026899337769,AP05JEO,0.5666264077983493
275,1,1022.7094927374764 612.1658291890152 1308.4510667524462 851.2731410894859,1123.822265625 758.525390625 1232.6868896484375 808.3070068359375,0.6358166933059692,AP05JEO,0.5666264077983493
276,1,1023.8129420593266 613.443438244569 1309.2090679428006 852.5260244003971,1122.9854329427083 760.2621459960938 1229.3161214192708 806.5039672851562,0,0,0
277,1,1024.9163913811767 614.7210473001228 1309.967069133155 853.7789077113084,1122.1486002604167 761.9989013671875 1225.9453531901042 804.700927734375,0,0,0
278,1,1026.019840703027 615.9986563556766 1310.7250703235095 855.0317910222196,1121.311767578125 763.7356567382812 1222.5745849609375 802.8978881835938,0.5465294122695923,AP05JEO,0.7464150217317034
279,1,1025.6910090065771 616.2517614031416 1310.990313575484 855.586188884905,1121.3145751953125 763.8448486328125 1222.81982421875 802.8541870117188,0.5493424534797668,AP05JEO,0.7464150217317034
280,1,1025.0563677703387 616.766308308166 1311.5450372480714 857.5864931524962,1123.3437093098958 765.4250284830729 1225.2060953776042 805.5279337565104,0,0,0
281,1,1024.4217265341006 617.2808552131903 1312.0997609206588 859.5867974200874,1125.3728434244792 767.0052083333334 1227.5923665364583 808.2016805013021,0,0,0
282,1,1023.7870852978622 617.7954021182147 1312.6544845932463 861.5871016876786,1127.4019775390625 768.5853881835938 1229.9786376953125 810.8754272460938,0.32468923926353455,AP05JEO,0.3443624470426691
283,1,1023.2611492652156 617.9490601265204 1313.005579776723 862.5919511079007,1127.29638671875 768.894287109375 1233.03369140625 811.1911010742188,0.2729616165161133,AP05JEO,0.2250752099270285
284,1,1022.9120545436471 618.8497823591924 1313.7581053197155 864.5052292451396,1124.2663167317708 769.033935546875 1232.7309977213542 811.8358154296875,0,0,0
285,1,1022.5629598220786 619.7505045918643 1314.5106308627082 866.4185073823786,1121.2362467447917 769.173583984375 1232.4283040364583 812.4805297851562,0,0,0
286,1,1022.21386510051 620.6512268245364 1315.2631564057008 868.3317855196175,1118.2061767578125 769.313232421875 1232.1256103515625 813.125244140625,0.546425998210907,AP05JEO,0.44393957111330085
287,1,1021.3637354150983 620.9057587265429 1315.3710507257074 869.6266936205639,1118.1976318359375 769.3275756835938 1232.072021484375 813.0775146484375,0.5455188155174255,AP05JEO,0.44393957111330085
288,1,1024.0602823735471 622.9320900916355 1318.1860674717768 872.7425963453015,1122.7701416015625 775.7105712890625 1221.0123291015625 817.6025390625,0.3895651698112488,AP05JEO,0.3317787403449242
289,1,1024.334928260977 624.0841932662913 1318.8541598558832 874.4296898556331,1128.4824829101562 777.0908203125 1227.9873046875 820.1165771484375,0,0,0
290,1,1024.609574148407 625.2362964409472 1319.5222522399893 876.1167833659647,1134.19482421875 778.4710693359375 1234.9622802734375 822.630615234375,0.38234248757362366,AP05JEO,0.44762127709827315
291,1,1023.9532973829265 625.8441059148024 1319.328691112098 876.7644701209508,1134.2041015625 778.418701171875 1234.986083984375 822.6778564453125,0.3839278817176819,AP05JEO,0.44762127709827315
292,1,1024.6848764817157 627.7804985745166 1319.9983925648282 879.0797841079465,1120.70068359375 781.0247192382812 1218.7353515625 822.3095092773438,0.340408056974411,AP05JED,0.3124294513582843
293,1,1025.0813935132883 628.3973362298091 1320.2956416966904 879.9546922594332,1120.67138671875 781.0368041992188 1218.4991455078125 822.299072265625,0.3350994288921356,AP05JED,0.3124294513582843
294,1,1024.8622520269228 629.4949253081371 1320.5480747528275 881.8248148516526,1121.3766276041667 782.84814453125 1223.0716552734375 823.6909790039062,0,0,0
295,1,1024.6431105405572 630.5925143864653 1320.8005078089643 883.6949374438722,1122.0818684895833 784.6594848632812 1227.6441650390625 825.0828857421875,0,0,0
296,1,1024.4239690541917 631.6901034647933 1321.0529408651014 885.5650600360916,1122.787109375 786.4708251953125 1232.2166748046875 826.4747924804688,0.5084909796714783,AP05JEO,0.7320711347052016
297,1,1024.18569936593 632.0081493654822 1321.5112039060184 886.23175087006,1122.807861328125 786.5010375976562 1232.40673828125 826.4707641601562,0.5080746412277222,AP05JEO,0.7320711347052016
298,1,1026.0394599743254 633.5799056674987 1323.3032659496203 888.4070676947729,1128.6607666015625 794.4151611328125 1234.36279296875 833.2078857421875,0.2934363782405853,AP05JED,0.39509457181698737
299,1,1027.0117856108209 634.0494644983049 1324.1799824525788 889.2896222725827,1128.49072265625 794.35986328125 1234.3795166015625 833.278564453125,0.2917941212654114,AP05JED,0.39509457181698737
300,1,1026.197596518798 636.7067725530021 1326.263374858123 892.9817306934426,1130.92041015625 791.4884033203125 1218.2840576171875 829.4036865234375,0.3537229597568512,AP05JEO,0.30561405008343284
301,1,1024.9447636104046 637.4256406855732 1327.4554935780734 894.3487120124648,1130.99853515625 791.4591064453125 1218.2618408203125 829.4412231445312,0.3482125699520111,AP05JEO,0.30561405008343284
302,1,1026.0768985923366 637.6763462393467 1329.7412203776128 895.2411233981813,1126.7685546875 790.9837646484375 1231.0599365234375 831.7781982421875,0.30552908778190613,AP05JEO,0.7236836247009755
